Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
159881,MLM616614666,MLM544416580,N/D
159895,N/D,MLM547951557,N/D
159915,N/D,MLM544522524,N/D
159960,N/D,MLM544866107,N/D
159963,N/D,MLM544880515,N/D
159968,MLM616436737,MLM544085921,N/D
159971,N/D,MLM544866034,N/D
159984,MLM616436818,MLM544877143,N/D
159985,MLM616436777,MLM544866123,N/D
159986,MLM616436822,MLM544900164,N/D
159987,MLM616436792,MLM544923953,N/D
159988,MLM616436794,MLM544948593,N/D
159989,N/D,MLM548249568,N/D
159990,N/D,MLM548496104,N/D
160016,MLM616436790,MLM543460594,N/D
160017,MLM616436795,MLM543446103,N/D
160020,MLM616436793,MLM544938835,N/D
160024,MLM616436810,MLM543453181,N/D
160050,MLM616436806,N/D,N/D
160051,MLM616436809,MLM544948646,N/D
160052,MLM616436823,MLM544866136,N/D
160053,MLM616436789,MLM544915356,N/D
160054,MLM616436807,MLM545085780,N/D
160055,MLM616436784,MLM544871152,N/D
160056,MLM616436783,MLM544866137,N/D
160090,MLM635891372,MLM548496132,N/D
160091,MLM635891363,MLM548496197,N/D
160092,MLM616436814,MLM548496112,N/D
160093,N/D,MLM546146917,N/D
160112,N/D,MLM548628758,N/D
160113,N/D,N/D,N/D
160129,N/D,MLM547699380,N/D
160131,N/D,MLM547695365,N/D
160152,N/D,MLM547701805,N/D
160153,N/D,MLM548025357,N/D
160155,MLM616436719,MLM542768527,N/D
